codigo_cliente,id_cliente,fecha_saldo,importe_operativa,moneda,tipo_operacion,max_saldo,fecha_mas_reciente,saldo_final,nombre,apellido1,apellido2,direccion,fecha_nacimiento,dni,nombre_completo,menor_30
97584073A,385,2025-10-27,-1037.38,EUR,Bizum,9698.39,2025-10-27,40013.2,Lucía,Gómez,Martínez,Calle Mayor 10,2001-04-12,12345678A,Lucía Gómez Martínez,SI
88976515X,185,2024-03-30,3858.37,USD,Tarjeta,9666.62,2024-03-30,36342.2,Daniel,Ruiz,Fernández,Av. del Mar 22,2004-07-19,23456789B,Daniel Ruiz Fernández,SI
71899444Y,44,2022-05-05,2742.32,EUR,Tarjeta,9156.54,2022-05-05,107699.49,Sofía,López,Sánchez,Calle Luna 5,1988-11-03,34567890C,Sofía López Sánchez,NO
13680776D,408,2025-09-21,5860.29,MXN,Tarjeta,8333.09,2025-09-21,82708.83,Carlos,Torres,Ramírez,Paseo del Río 18,1983-02-25,45678901D,Carlos Torres Ramírez,NO
17962096P,429,2025-02-12,6552.33,EUR,Tarjeta,7772.78,2025-02-12,92572.44,Elena,Martín,Delgado,Calle Sol 7,1992-06-14,56789012E,Elena Martín Delgado,NO
10369978P,440,2022-02-22,1689.93,USD,Transferencia,9225.35,2022-02-22,47882.81,Javier,Moreno,Castro,Av. Andalucía 3,2005-09-30,67890123F,Javier Moreno Castro,SI
31244736W,322,2024-01-11,1150.88,EUR,Tarjeta,8149.87,2024-01-11,54344.77,Marta,Navarro,Jiménez,Calle Real 9,1991-01-08,78901234G,Marta Navarro Jiménez,NO
61800130C,384,2025-02-08,5366.77,JPY,Retirada Efectivo,8941.46,2025-02-08,55749.39,Roberto,Vega,Ortega,Calle Jardín 12,1989-05-17,89012345H,Roberto Vega Ortega,NO
16027492S,62,2023-08-05,-7748.37,JPY,Bizum,9808.68,2023-08-05,65435.02,Clara,Alonso,Reyes,Av. del Bosque 4,1987-03-22,90123456I,Clara Alonso Reyes,NO
50064311K,85,2023-05-24,9221.76,EUR,Retirada Efectivo,9862.92,2023-05-24,63060.32,Luis,Pérez,Domínguez,Calle Norte 6,1998-08-29,01234567J,Luis Pérez Domínguez,SI
20301602F,135,2022-10-11,2699.08,JPY,Tarjeta,9985.7,2022-10-11,85243.45,Natalia,Ramírez,García,Calle Sur 14,2007-12-11,11223344K,Natalia Ramírez García,SI
81300306S,82,2022-11-11,8800.15,GBP,Transferencia,9707.67,2022-11-11,73937.31,Tomás,Serrano,Muñoz,Av. del Prado 1,1990-10-05,22334455L,Tomás Serrano Muñoz,NO
17561197P,403,2022-11-26,4644.89,GBP,Retirada Efectivo,9359.32,2022-11-26,11654.73,Andrea,Del Valle,Saavedra,Calle del Lago 3,1985-07-07,33445566M,Andrea Del Valle Saavedra,NO
36378812Z,126,2023-07-02,3868.63,USD,Retirada Efectivo,9864.99,2023-07-02,47289.25,Miguel,Cano,Luna,Calle del Río 8,1992-03-03,44556677N,Miguel Cano Luna,NO
96175166A,419,2025-04-08,-5424.28,MXN,Transferencia,9208.74,2025-04-08,43762.94,Patricia,Gil,Nieto,Av. Central 15,1988-06-06,55667788O,Patricia Gil Nieto,NO
98432182G,306,2025-11-04,1951.5,GBP,Retirada Efectivo,9914.71,2025-11-04,79447.93,Álvaro,Herrera,Bravo,Calle del Viento 2,1986-01-01,66778899P,Álvaro Herrera Bravo,NO
37339115A,410,2022-05-19,2652.56,USD,Retirada Efectivo,8720.84,2022-05-19,71655.65,Teresa,Campos,León,Calle del Este 9,1991-09-09,77889900Q,Teresa Campos León,NO
12626328N,326,2023-01-30,-9545.66,EUR,Transferencia,8280.29,2023-01-30,64110.65,Ignacio,Molina,Vargas,Av. del Sur 5,1983-04-04,88990011R,Ignacio Molina Vargas,NO
25121571Z,222,2024-12-17,5198.04,USD,Tarjeta,9393.71,2024-12-17,37617.99,Beatriz,Ramos,Peña,Calle del Bosque 6,1989-12-12,99001122S,Beatriz Ramos Peña,NO
14720338Z,377,2025-10-20,2700.23,MXN,Bizum,9098.99,2025-10-20,20221.04,Jorge,Suárez,Cordero,Av. del Sol 10,1994-02-02,10111213T,Jorge Suárez Cordero,NO
67292751L,80,2025-07-01,9254.86,JPY,Retirada Efectivo,9825.21,2025-07-01,60792.77,Eva,Blanco,Morales,Calle del Mar 1,1987-08-08,12131415U,Eva Blanco Morales,NO
83420198X,86,2023-07-28,3623.77,MXN,Transferencia,9488.32,2023-07-28,55271.34,Fernando,Crespo,Del Río,Av. del Norte 7,1990-05-05,13141516V,Fernando Crespo Del Río,NO
64853798V,478,2023-12-21,8223.65,EUR,Retirada Efectivo,9425.71,2023-12-21,52355.18,Raquel,Esteban,Quintero,Calle del Campo 4,1986-11-11,14151617W,Raquel Esteban Quintero,NO
94869331H,127,2025-06-18,-6194.99,EUR,Transferencia,9675.37,2025-06-18,26177.63,Pablo,Del Castillo,Saiz,Av. del Jardín 9,1984-03-03,15161718X,Pablo Del Castillo Saiz,NO
23319313J,433,2024-06-03,-8306.01,JPY,Bizum,8850.51,2024-06-03,14187.33,Inés,Aguilar,Del Valle,Calle del Parque 6,1992-07-07,16171819Y,Inés Aguilar Del Valle,NO
37108478D,347,2022-08-12,4037.02,MXN,Tarjeta,9799.54,2022-08-12,43301.97,Marcos,Ortega,Delgado,Av. del Río 2,1985-10-10,17181920Z,Marcos Ortega Delgado,NO
98378011P,148,2023-12-14,6107.25,USD,Retirada Efectivo,9879.82,2023-12-14,55511.63,Alicia,Garrido,Santos,Calle del Norte 3,1989-06-06,18192021A,Alicia Garrido Santos,NO
64225648L,96,2023-03-13,4048.74,JPY,Retirada Efectivo,9210.57,2023-03-13,34024.61,Hugo,Del Río,Martí,Av. del Este 11,1993-01-01,19202122B,Hugo Del Río Martí,NO
14552919V,286,2024-09-20,956.47,EUR,Tarjeta,8458.42,2024-09-20,28534.19,Nuria,Delgado,Romero,Calle del Sur 10,1987-02-02,20212223C,Nuria Delgado Romero,NO
32705301X,462,2024-11-01,-8187.16,USD,Bizum,7572.0,2024-11-01,18485.15,Joaquín,Del Valle,Gómez,Av. del Lago 14,2020-04-04,21222324D,Joaquín Del Valle Gómez,SI
32826897B,223,2022-01-28,5781.67,MXN,Retirada Efectivo,9476.44,2022-01-28,57291.5,Silvia,Del Río,Navarro,Calle del Sol 5,1986-12-12,22232425E,Silvia Del Río Navarro,NO
87114611J,357,2024-05-15,5279.37,MXN,Bizum,9759.89,2024-05-15,149794.53,Manuel,Delgado,Martínez,Av. del Norte 8,1984-08-08,23242526F,Manuel Delgado Martínez,NO
40075645Z,352,2022-09-12,-6977.31,JPY,Bizum,9558.81,2022-09-12,30063.01,Carmen,Del Río,Serrano,Calle del Jardín 2,1991-11-11,24252627G,Carmen Del Río Serrano,NO
13901417L,177,2025-01-27,-4251.98,EUR,Bizum,9908.75,2025-01-27,37429.12,Esther,Delgado,Del Río,Av. del Este 6,1999-09-09,25262728H,Esther Delgado Del Río,SI
