id_cliente,fecha_saldo,codigo_cliente,importe_operativa,moneda,tipo_operacion,max_saldo,fecha_mas_reciente,saldo_final,nombre,apellido1,apellido2,direccion,fecha_nacimiento,dni,nombre_completo,menor_30
377,2022-01-05,66197100C,5018.45,MXN,Tarjeta,9772.74,2022-01-05,104429.47,,,,,,,  ,NO
9,2024-02-17,46096092L,-5863.64,JPY,Transferencia,8959.26,2024-02-17,68676.24,,,,,,,  ,NO
139,2025-08-30,49700624Z,-4685.5,MXN,Transferencia,9790.69,2025-08-30,45386.92,,,,,,,  ,NO
60,2024-01-25,51695795V,2953.48,USD,Tarjeta,9556.07,2024-01-25,49808.03,,,,,,,  ,NO
183,2025-06-22,70287007Y,-1412.84,JPY,Transferencia,9511.54,2025-06-22,97803.76,,,,,,,  ,NO
84,2023-02-01,81009052B,-3856.26,EUR,Transferencia,9199.11,2023-02-01,59510.19,,,,,,,  ,NO
91,2025-06-30,30121964A,260.2,GBP,Tarjeta,9488.11,2025-06-30,62031.34,,,,,,,  ,NO
262,2022-02-05,34062550V,9319.09,JPY,Bizum,9423.87,2022-02-05,153228.02,,,,,,,  ,NO
351,2023-01-03,65177272J,8487.44,MXN,Retirada Efectivo,9004.45,2023-01-03,15233.07,,,,,,,  ,NO
224,2022-04-29,64937968J,2535.63,USD,Bizum,7983.4,2022-04-29,95095.4,,,,,,,  ,NO
424,2024-01-14,99628084R,3441.7,EUR,Tarjeta,9776.45,2024-01-14,53496.4,,,,,,,  ,NO
37,2023-12-08,88108216O,1303.48,GBP,Bizum,9731.65,2023-12-08,-6689.51,,,,,,,  ,NO
375,2023-04-02,60013305J,8475.08,JPY,Retirada Efectivo,8844.97,2023-04-02,20888.74,,,,,,,  ,NO
317,2025-11-05,98185046S,6993.31,GBP,Retirada Efectivo,9922.55,2025-11-05,72439.26,,,,,,,  ,NO
140,2025-09-05,11035697W,-6258.16,GBP,Transferencia,9693.86,2025-09-05,17948.72,,,,,,,  ,NO
291,2023-01-04,38978836I,887.29,MXN,Retirada Efectivo,9941.62,2023-01-04,44803.35,,,,,,,  ,NO
228,2024-09-30,54850182T,9210.82,JPY,Bizum,9855.55,2024-09-30,65697.37,,,,,,,  ,NO
128,2022-09-25,10692089Y,296.91,USD,Tarjeta,9812.49,2022-09-25,52319.62,,,,,,,  ,NO
420,2023-02-27,90524791R,2257.1,GBP,Transferencia,8347.65,2023-02-27,35280.48,,,,,,,  ,NO
