id_cliente,fecha_saldo,codigo_cliente,importe_operativa,moneda,tipo_operacion
0377,2022-01-05,66197100C,5018.45,MXN,Tarjeta
0009,2024-02-17,46096092L,-5863.64,JPY,Transferencia
0139,2025-08-30,49700624Z,-4685.5,MXN,Transferencia
0060,2024-01-25,51695795V,2953.48,USD,Tarjeta
0183,2025-06-22,70287007Y,-1412.84,JPY,Transferencia
0084,2023-02-01,81009052B,-3856.26,EUR,Transferencia
0091,2025-06-30,30121964A,260.2,GBP,Tarjeta
0262,2022-02-05,34062550V,9319.09,JPY,Bizum
0351,2023-01-03,65177272J,8487.44,MXN,Retirada Efectivo
0224,2022-04-29,64937968J,2535.63,USD,Bizum
0424,2024-01-14,99628084R,3441.7,EUR,Tarjeta
0037,2023-12-08,88108216O,1303.48,GBP,Bizum
0375,2023-04-02,60013305J,8475.08,JPY,Retirada Efectivo
0317,2025-11-05,98185046S,6993.31,GBP,Retirada Efectivo
0140,2025-09-05,11035697W,-6258.16,GBP,Transferencia
0291,2023-01-04,38978836I,887.29,MXN,Retirada Efectivo
0228,2024-09-30,54850182T,9210.82,JPY,Bizum
0128,2022-09-25,10692089Y,296.91,USD,Tarjeta
0420,2023-02-27,90524791R,2257.1,GBP,Transferencia
0040,2024-10-08,82819802R,5864.2,USD,Bizum
0196,2024-02-21,81844539I,-4756.53,USD,Bizum
0143,2023-12-16,21492445S,834.95,USD,Tarjeta
0107,2024-12-02,79569381T,9898.68,USD,Tarjeta
0209,2023-12-25,39970393T,3245.74,USD,Bizum
0389,2023-03-20,54500718X,9225.83,MXN,Tarjeta
0302,2023-07-17,54362044O,5877.54,EUR,Transferencia
0325,2025-02-26,63075373T,1045.38,USD,Transferencia
0433,2024-05-02,24004715Q,4618.56,MXN,Transferencia
0136,2023-07-05,70826344G,3708.06,GBP,Tarjeta
0243,2023-12-02,24793867L,745.14,USD,Tarjeta
0035,2024-10-26,99634044N,4685.05,GBP,Tarjeta
0191,2024-08-07,58151660N,3845.62,USD,Tarjeta
0451,2024-09-20,51633515E,-7111.14,EUR,Bizum
