id_cliente,fecha_saldo,codigo_cliente,importe_operativa,moneda,tipo_operacion
0385,2025-10-27,97584073A,-1037.38,EUR,Bizum
0185,2024-03-30,88976515X,3858.37,USD,Tarjeta
0044,2022-05-05,71899444Y,2742.32,EUR,Tarjeta
0408,2025-09-21,13680776D,5860.29,MXN,Tarjeta
0429,2025-02-12,17962096P,6552.33,EUR,Tarjeta
0440,2022-02-22,10369978P,1689.93,USD,Transferencia
0322,2024-01-11,31244736W,1150.88,EUR,Tarjeta
0384,2025-02-08,61800130C,5366.77,JPY,Retirada Efectivo
0062,2023-08-05,16027492S,-7748.37,JPY,Bizum
0085,2023-05-24,50064311K,9221.76,EUR,Retirada Efectivo
0135,2022-10-11,20301602F,2699.08,JPY,Tarjeta
0082,2022-11-11,81300306S,8800.15,GBP,Transferencia
0403,2022-11-26,17561197P,4644.89,GBP,Retirada Efectivo
0126,2023-07-02,36378812Z,3868.63,USD,Retirada Efectivo
0419,2025-04-08,96175166A,-5424.28,MXN,Transferencia
0306,2025-11-04,98432182G,1951.5,GBP,Retirada Efectivo
0410,2022-05-19,37339115A,2652.56,USD,Retirada Efectivo
0326,2023-01-30,12626328N,-9545.66,EUR,Transferencia
0222,2024-12-17,25121571Z,5198.04,USD,Tarjeta
0377,2025-10-20,14720338Z,2700.23,MXN,Bizum
0080,2025-07-01,67292751L,9254.86,JPY,Retirada Efectivo
0086,2023-07-28,83420198X,3623.77,MXN,Transferencia
0478,2023-12-21,64853798V,8223.65,EUR,Retirada Efectivo
0127,2025-06-18,94869331H,-6194.99,EUR,Transferencia
0433,2024-06-03,23319313J,-8306.01,JPY,Bizum
0347,2022-08-12,37108478D,4037.02,MXN,Tarjeta
0148,2023-12-14,98378011P,6107.25,USD,Retirada Efectivo
0096,2023-03-13,64225648L,4048.74,JPY,Retirada Efectivo
0286,2024-09-20,14552919V,956.47,EUR,Tarjeta
0462,2024-11-01,32705301X,-8187.16,USD,Bizum
0223,2022-01-28,32826897B,5781.67,MXN,Retirada Efectivo
0357,2024-05-15,87114611J,5279.37,MXN,Bizum
0352,2022-09-12,40075645Z,-6977.31,JPY,Bizum
0177,2025-01-27,13901417L,-4251.98,EUR,Bizum
0273,2024-12-17,36680443A,7915.64,EUR,Retirada Efectivo
0304,2023-06-23,64250679F,3674.35,JPY,Retirada Efectivo
0206,2022-11-24,26574180I,3063.98,MXN,Tarjeta
0032,2022-01-14,33168781D,4870.53,GBP,Transferencia
0342,2025-05-06,74344108K,8430.58,GBP,Tarjeta
0063,2022-02-07,52269811Z,6348.51,USD,Tarjeta
0023,2024-08-10,49662850J,-2245.81,EUR,Bizum
0257,2022-09-04,65377011G,591.47,MXN,Tarjeta
0465,2023-06-15,31954708D,-776.41,USD,Bizum
0277,2022-06-23,50020502X,-2223.54,JPY,Bizum
0014,2024-01-16,71899444Y,-2252.32,EUR,Transferencia
0049,2025-07-07,23681690N,2357.37,USD,Transferencia
0491,2022-02-11,35957775T,1064.92,USD,Retirada Efectivo
0348,2023-10-01,95735897U,9112.02,EUR,Transferencia
0144,2023-05-26,65377011G,4516.22,EUR,Retirada Efectivo
0338,2022-09-22,95694861F,-3131.59,GBP,Bizum
0382,2022-07-18,55015641W,8221.93,JPY,Tarjeta
0456,2024-11-24,88890489J,8113.11,GBP,Transferencia
0279,2022-08-26,84866182V,463.05,EUR,Retirada Efectivo
0255,2024-11-17,78481808C,154.09,JPY,Tarjeta
0006,2024-01-10,24010733S,2674.12,EUR,Retirada Efectivo
0367,2025-05-25,92885083V,6829.84,JPY,Retirada Efectivo
0496,2022-05-02,87788382P,-8105.45,JPY,Bizum
0331,2023-04-15,21952227L,6912.43,MXN,Bizum
0260,2022-03-19,64853798V,554.36,USD,Transferencia
0139,2023-12-10,77401638B,6473.14,JPY,Retirada Efectivo
0100,2023-05-14,50020502X,280.47,MXN,Bizum
0239,2025-04-30,35529251E,-8143.64,USD,Bizum
0192,2022-11-08,45641315L,3225.3,MXN,Tarjeta
0490,2022-01-01,27029841F,4562.68,USD,Retirada Efectivo
0200,2022-03-11,47187112T,4411.51,EUR,Tarjeta
0244,2025-07-30,50916614C,1934.02,MXN,Transferencia
0156,2024-10-15,89743159P,466.33,USD,Retirada Efectivo
0380,2024-04-26,36709559B,5988.38,MXN,Retirada Efectivo
0455,2022-10-18,11397512R,-9943.13,MXN,Transferencia
0346,2025-05-21,76283991K,7673.25,MXN,Tarjeta
0438,2025-01-22,14957535A,7172.16,JPY,Tarjeta
0435,2023-11-22,52757597D,3693.69,JPY,Retirada Efectivo
0134,2025-12-13,32705301X,5402.65,EUR,Bizum
0163,2024-02-05,65075772F,2538.53,EUR,Tarjeta
0457,2024-07-25,71811704W,5575.27,EUR,Bizum
0125,2025-06-10,75637771O,-4657.71,USD,Transferencia
0486,2022-09-02,56572821H,7467.34,GBP,Retirada Efectivo
0223,2023-07-07,96043651D,349.49,USD,Tarjeta
0385,2023-07-24,29668681L,1328.62,GBP,Transferencia
0127,2022-10-01,81950959T,6016.14,JPY,Tarjeta
0454,2024-12-08,31324961Z,5093.15,EUR,Retirada Efectivo
0414,2022-10-16,57594673F,3259.6,USD,Tarjeta
0491,2024-04-05,76381793S,6869.93,USD,Bizum
0435,2025-12-28,95549651F,4162.8,USD,Retirada Efectivo
0164,2024-02-24,94675177L,9482.89,JPY,Tarjeta
0062,2023-12-29,29071199A,3026.15,JPY,Transferencia
0003,2024-06-10,19862675A,-8298.24,USD,Bizum
0047,2024-04-03,17070719G,4910.19,MXN,Bizum
0214,2024-08-28,65743702V,-9449.72,JPY,Transferencia
0349,2024-09-20,92885083V,7071.21,EUR,Retirada Efectivo
0228,2023-11-11,69195001F,6601.49,MXN,Transferencia
0168,2025-03-24,64940056Z,2489.88,GBP,Retirada Efectivo
0345,2023-08-13,87788382P,-1310.44,JPY,Transferencia
0482,2025-07-09,17453908X,7749.21,JPY,Tarjeta
0180,2025-12-07,15501170S,-8500.09,MXN,Bizum
0033,2024-12-01,29926585K,-466.35,GBP,Bizum
0106,2024-05-25,82524490J,2454.01,USD,Retirada Efectivo
0391,2025-09-17,42913560A,-4533.27,GBP,Transferencia
0156,2022-09-06,90792426C,-5416.87,EUR,Transferencia
0103,2022-12-19,31308169C,7423.06,USD,Tarjeta
0346,2022-03-29,61800130C,3024.57,MXN,Bizum
0386,2022-01-23,91889521P,-2230.95,JPY,Transferencia
0441,2024-04-09,40747789Z,-5809.42,GBP,Transferencia
0025,2022-10-01,95735897U,4258.96,MXN,Retirada Efectivo
0025,2024-02-29,42913560A,3927.16,JPY,Tarjeta
0180,2023-10-14,50562133T,-3434.48,EUR,Transferencia
0337,2022-09-12,47187112T,7078.85,EUR,Transferencia
0422,2023-10-15,99082359Y,2274.81,MXN,Tarjeta
0148,2023-06-15,31244736W,-3632.39,MXN,Bizum
0199,2023-05-03,39222928U,442.02,MXN,Bizum
0415,2023-07-02,45168663L,-532.14,EUR,Bizum
0102,2023-08-11,66886990G,8321.14,JPY,Tarjeta
0054,2022-08-30,81810281V,562.46,GBP,Retirada Efectivo
0013,2022-07-04,87114611J,9630.81,MXN,Bizum
0291,2023-10-20,82267962O,6637.11,MXN,Tarjeta
0450,2025-05-04,78481808C,2185.25,EUR,Retirada Efectivo
0407,2024-06-10,88890489J,2703.17,EUR,Tarjeta
0481,2025-10-08,79161841Q,6407.38,USD,Tarjeta
0322,2024-07-17,53694203X,-7942.64,MXN,Transferencia
0188,2022-03-05,10278500S,2255.11,EUR,Retirada Efectivo
0211,2024-12-11,27261052J,8149.26,JPY,Transferencia
0429,2023-07-16,99171250T,6177.17,USD,Tarjeta
0499,2024-04-11,23166003I,2776.06,GBP,Retirada Efectivo
0033,2024-09-13,32826897B,-1171.1,MXN,Transferencia
0123,2025-06-04,40063188Y,7013.67,USD,Tarjeta
0035,2025-07-20,18253393I,7653.9,MXN,Transferencia
0246,2024-08-02,53641418E,-448.0,MXN,Transferencia
0401,2025-10-15,90228959U,-2240.34,MXN,Bizum
0293,2022-07-03,95546117G,9685.82,GBP,Tarjeta
0280,2023-11-22,46984919M,6976.6,GBP,Tarjeta
0449,2023-07-15,28638940F,-8872.98,EUR,Transferencia
0111,2025-08-28,44046437N,2466.52,GBP,Transferencia
0211,2023-06-26,28726981O,9403.13,GBP,Retirada Efectivo
0126,2022-08-31,74344108K,-3542.77,MXN,Bizum
0088,2023-02-04,20301602F,8100.87,EUR,Transferencia
0127,2022-06-29,39871679L,-3416.79,MXN,Transferencia
0203,2025-06-17,81810281V,2003.16,EUR,Tarjeta
0434,2023-04-08,67421117B,2583.41,GBP,Bizum
0284,2023-03-27,60195151Y,-8660.01,MXN,Bizum
0081,2023-06-15,80354341P,-899.12,MXN,Transferencia
